LOCATION,TIME,Average Wage,Education Expenditure,GDP per capita
PRT,2017,27134.70792,10181.03,31607.61019
PRT,2018,27244.35981,10707.63,33044.70015
PRT,2019,27695.94882,10999.64,34928.61899
PRT,2012,28790.36708,11161.6,37299.00721
SVK,2013,19996.42165,5300.234,27000.73026
SVK,2014,20149.34785,5870.379,28021.09042
SVK,2015,20553.20123,6420.683,29029.58768
SVK,2016,21360.36057,6675.5,30062.17965
SVK,2017,22039.34985,6302.548,29737.53009
SVK,2018,22692.78509,6475.93,30147.01598
SVK,2019,23333.38334,6804.176,31374.188
SVK,2012,24095.53289,7458.022,33461.91292
ESP,2013,40205.22787,8866.745,31724.78535
ESP,2014,40208.38826,8488.127,32463.12368
ESP,2015,40084.85822,8531.708,33558.97667
ESP,2016,40684.38422,9061.892,34945.48161
ESP,2017,40454.99849,9692.012,37333.06491
ESP,2018,39927.38345,10122.09,39601.47963
ESP,2019,39794.10614,10292.43,40776.7683
ESP,2012,39877.21536,10706.06,43135.53943
SWE,2013,44447.13113,11395.14,45432.43101
SWE,2014,44938.70024,11965.73,46312.3974
SWE,2015,45438.53662,11786.59,47184.67317
SWE,2016,46131.97179,11994.07,49103.13195
SWE,2017,46848.54392,12628.19,50430.25079
SWE,2018,47100.71172,12968.48,51947.95578
SWE,2019,47338.83144,13492.24,53521.63578
SWE,2012,47834.72254,13310.95,56404.03236
EST,2013,22220.61079,7014.251,25946.94489
EST,2014,22759.12226,6522.694,27418.68964
EST,2015,23958.74005,6574.948,28917.83366
EST,2016,25084.60448,6881.683,29222.74808
EST,2017,26453.46939,6959.016,31310.1521
EST,2018,27059.39127,7332.586,33867.80354
EST,2019,28533.39026,8486.669,36488.63742
EST,2012,30212.81449,8462.373,39068.18369
LVA,2013,19860.5331,5162.867,21297.47262
LVA,2014,20810.65018,5903.24,22637.19745
LVA,2015,22206.49712,6627.318,23810.21837
LVA,2016,24062.1278,6988.779,24975.47975
LVA,2017,25473.33324,6900.149,26724.45983
LVA,2018,26386.6647,7098.641,28689.61747
LVA,2019,27357.27753,7471.119,30891.88419
LVA,2012,28547.45617,7888.688,32938.58231
LTU,2013,25996.2473,4649.403,24703.69794
LTU,2014,26980.85436,5005.615,26721.60193
LTU,2015,28207.88559,5282.888,28184.49909
LTU,2016,30054.92339,5208.076,28834.45757
LTU,2017,31601.14488,5763.258,30925.15181
LTU,2018,33424.60706,5985.093,33761.9066
LTU,2019,34952.31315,6509.738,36376.53574
LTU,2012,37305.14161,7227.004,39950.76049
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
