Country,Adults,Mean,Median,Ten,Hundred,Hundredthou,Mil,Gini
Venezuela,18798.00,28243.00,10948.00,50.00,45.80,4.10,0.10,77.80
Vietnam,69176.00,14246.00,4987.00,76.70,21.30,1.90,0.10,79.70
Yemen,15760.00,7808.00,1697.00,91.30,7.20,1.50,0.00,88.30
Zambia,8655.00,3084.00,653.00,94.20,5.60,0.20,0.00,88.60
Zimbabwe,7264.00,9791.00,3164.00,81.70,17.30,0.90,0.10,79.70
Africa,689800.00,8419.00,1111.00,87.30,11.50,1.10,0.10,87.90
Asia-Pacific,1256863.00,64700.00,5218.00,62.60,26.20,10.30,0.90,88.50
China,1110504.00,76639.00,28258.00,17.70,66.60,15.10,0.60,70.10
Europe,589822.00,180275.00,26385.00,31.60,36.40,29.20,2.80,81.60
India,915667.00,15535.00,3457.00,75.10,22.90,1.90,0.10,82.30
Latin America,453836.00,27717.00,5139.00,65.00,30.10,4.70,0.20,85.80
North America,282072.00,560846.00,95255.00,22.40,28.80,39.30,9.50,84.20
World,5298564.00,87489.00,8360.00,53.20,33.80,11.80,1.20,88.90
