Location,Time,Value
CHN,2060,62139790.0
IND,2020,8415911.84325774
IND,2021,9091495.02468221
IND,2022,9957662.72705213
IND,2023,10815240.0
IND,2024,11635760.0
IND,2025,12450620.0
IND,2026,13269540.0
IND,2027,14093520.0
IND,2028,14923520.0
IND,2029,15760180.0
IND,2030,16602910.0
IND,2031,17450590.0
IND,2032,18301730.0
IND,2033,19155040.0
IND,2034,20009020.0
IND,2035,20862090.0
IND,2036,21712830.0
IND,2037,22560550.0
IND,2038,23404900.0
IND,2039,24245720.0
IND,2040,25082990.0
IND,2041,25916950.0
IND,2042,26748030.0
IND,2043,27576820.0
IND,2044,28403630.0
IND,2045,29228650.0
IND,2046,30052370.0
IND,2047,30876030.0
IND,2048,31701400.0
IND,2049,32530040.0
IND,2050,33363210.0
IND,2051,34202140.0
IND,2052,35048310.0
IND,2053,35903600.0
IND,2054,36769260.0
IND,2055,37645610.0
IND,2056,38532720.0
IND,2057,39431120.0
IND,2058,40341790.0
IND,2059,41265730.0
IND,2060,42203870.0
